front,back,hint,publishedAt
"Stücke","Pieces","und in Stücke gerissen,\nsodass einzig seine Augen","2024-08-15T16:05:56.255Z"
"ausgestoßen","emitted/pushed/shoved","sondern nicht in die Gruppe\nzu passen und ausgestoßen zu werden.","2024-07-18T22:31:33.275Z"
"das Verweiswort","the reference word","","2023-10-26T12:11:57.526Z"
"Teilchen","Particle","von Teilchenbeschleunigern\nüber Poesie bis hin zu Pokémon.","2024-07-20T14:37:06.107Z"
"Ich habe keine Zeit dafür.","I don't have time for that.","","2024-07-18T22:20:59.940Z"
"das kupfer","the copper","Das Kupfer ist ein gutes Leitermaterial.","2024-09-09T22:09:11.318Z"
"ungesündesten","unhealthiest","zu den ungesündesten Dingen\nüberhaupt gehört.","2024-07-18T22:53:20.874Z"
"der Insasse","the passenger","Bei dem Unfall kamen alle Insassen ums Leben","2023-09-13T21:26:51.212Z"
"stinksauer","pissed off","stinksauer .","2023-12-17T16:51:16.033Z"
"der Drache","the Dragon","Der Drache bewachte den Schatz in der Höhle.","2024-10-02T12:11:04.857Z"
"Vorfahren ","Ancestors ","","2024-07-18T22:30:10.811Z"
"offen","open","","2023-12-09T01:05:29.145Z"
"der Leopard (en)","the leopard","","2024-08-26T22:57:56.078Z"
"die Ameise","the ant","","2024-08-26T22:57:55.213Z"
"Ergotherapeutin","Occupational therapist","","2024-10-28T23:50:26.665Z"
"Velo","Bike","","2024-07-05T16:32:12.263Z"
"der Saum","the hem","Der Saum des Kleides ist schön verziert.","2024-09-27T09:36:04.425Z"
"beschaffen","procure","Ich muss noch die Materialien für das Projekt beschaffen.","2024-09-28T00:09:33.320Z"
"abdanken","abdicate","Der König hat beschlossen, abzudanken und das Land in die Hände seines Sohnes zu übergeben.","2024-09-27T10:03:33.078Z"
"zugeht","goes to","","2024-10-28T23:43:16.438Z"
"die Krypta","the crypt","","2024-11-01T20:46:12.471Z"
"Klänge","Sounds","","2024-07-11T22:38:25.418Z"
"beunruhigende","disturbing","Aber warum wurde so eine beunruhigende Maske hergestellt?","2024-09-24T00:15:27.284Z"
"vermeiden","avoid","das zu vermeiden und dafür sorgen kann, auf \nDeutsch zu denken, darüber sprechen wir heute.","2024-06-17T21:17:31.610Z"
"Belastungsstörung","Stress disorder","","2024-07-25T18:14:20.709Z"
"vereinbaren","to arrange","Wir haben vereinbart, uns um 8 Uhr am Bahnhof zu treffen.","2024-07-22T13:14:04.623Z"
"die Genehmigung","Permit","","2023-10-17T03:56:19.434Z"
"Ohne sie bist du deiner Umgebung völlig ausgeliefert","Without them, you are completely at the mercy of your surroundings","","2024-07-20T14:44:26.222Z"
"indem","by doing","Zum Beispiel, indem sie überschüssige\nMoleküle aus der Zelle pumpt","2024-07-15T23:53:37.592Z"
"Gerät","device","Ich habe ein neues Gerät gekauft.","2024-07-23T22:17:55.876Z"
"verteilen","to distribute/allocate","Ich verteile die Geschenke an die Kinder.","2024-07-23T22:21:22.042Z"
"Ergeben sich","Resulting","","2024-07-21T11:52:15.763Z"
"Umsiedlung","Resettlement","","2024-09-20T21:54:03.846Z"
"die Mutprobe","test of courage","Er hat die Mutprobe bestanden.","2024-09-10T21:20:07.105Z"
"kriegstreiber","warmonger","","2024-09-17T19:51:01.543Z"
"Pforten","Gates","Wie jedes Jahr öffnete die Europaschule ihre Pforten, um sich allen Interessierten vorzustellen.","2024-09-18T20:58:35.907Z"
"rief","called","Er rief laut nach seinem Hund.","2024-09-18T20:02:22.584Z"
"aß","ate","Als Kind aß ich oft Schokolade.","2024-09-18T20:11:56.679Z"
"um zu siegen","to win","","2024-09-18T20:02:01.816Z"
"der Leib","the body","Er kümmert sich um seinen Leib und seine Gesundheit.","2024-09-26T10:55:37.385Z"
"der Wert","value","Wer Wert darauf legt, dass ein Produkt nicht nur weitgehend pestizidfrei ist und umweltschonend angebaut wird, muss schon genau hinsehen.","2024-09-17T13:25:17.179Z"
"rasend","raging","Er war rasend vor Wut.","2024-08-01T18:54:54.733Z"
"wolkenverhangen","cloudy","Der Himmel ist wolkenverhangen.","2024-08-13T19:57:33.846Z"
"die Klausur","the exam","","2023-11-12T17:18:25.378Z"
"Anzeigemodus","Display mode","","2024-09-06T19:47:19.634Z"
"Schön, dass du auch dazu geschaltet bist.","It's great that you've joined us too.","","2024-07-23T14:46:27.937Z"
"die Gruft","the crypt","Die Gruft der Könige befindet sich unter der alten Kathedrale.","2024-11-02T15:54:24.232Z"
"geräusch","noise","Das Geräusch der Vögel am Morgen ist sehr beruhigend.","2024-08-09T21:24:22.640Z"
"schiefgelaufen","gone wrong","Das Projekt ist schiefgelaufen, weil wir nicht genug Zeit hatten.","2024-09-19T19:18:09.222Z"
"Die Pein","The pain","","2024-08-15T20:18:54.493Z"
"betrachten","consider","Egal, ob wir Einsamkeit als rein\nsubjektives Problem betrachten,","2024-07-18T23:02:00.193Z"
"Chirurgen","Surgeons","Es gibt viele verschiedene Ärzte, manche sind Chirurgen, andere sind Ohrenärzte oder Zahnärzte.","2024-09-22T18:40:41.631Z"
"Einzelnen","Individual","predigte die\nVerantwortlichkeit des Einzelnen.","2024-07-18T22:34:35.653Z"
"das gasthaus","the inn","","2024-09-17T18:27:20.200Z"
"begegnet","encountered","wenn uns etwas Relevantes begegnet.","2024-07-20T14:45:17.859Z"
"der Ausschuss","Committee","Der Ausschuss des Bundestags befasste sich mit der Spendenaffäre und befragte dazu den amtierenden Innenminister.","2023-09-13T21:26:36.705Z"
"inzwischen","meanwhile","","2024-04-25T10:02:06.089Z"
"der Müll","the garbage","Ich muss den Müll rausbringen.","2024-10-19T15:12:50.617Z"
"lediglich","only","Ich habe lediglich einen Apfel gekauft.","2024-08-09T21:59:01.489Z"
"bestanden","passed","Ich habe die Prüfung bestanden.","2024-07-09T22:47:23.810Z"
"gierigen","greedy","","2024-09-06T17:54:58.685Z"
"der Kakerlak (en)","the cockroach","Ich habe gestern eine Kakerlake in der Küche gesehen.","2024-08-26T22:57:59.932Z"
"Falls Sie währenddessen Schmerzen spüren, heben Sie bitte die Hand.","If you feel pain during the procedure, please raise your hand.","","2024-07-06T20:48:39.618Z"
"erkundigen","inquire","Ich möchte mich nach den Öffnungszeiten des Museums erkundigen.","2024-09-29T10:31:20.561Z"
"erfolglosen","unsuccessful","Die erfolglosen Versuche, das Problem zu lösen, führten zu Frustration.","2024-09-06T17:53:47.389Z"
"abgekommen","(Past Participle): Strayed, deviated, or abandoned","Das Auto ist von der Straße abgekomme","2024-09-29T11:19:31.953Z"
"der Baustein","the Module","den energetischen Baustein der Welt.","2024-07-15T23:55:54.415Z"
"auszuführen","to be carried out","","2024-08-01T19:00:12.416Z"
"der Genuss","the Indulgence","Dieser Genuss!","2024-07-16T22:57:57.367Z"
"erheblich","considerable","","2024-08-14T22:21:30.910Z"
"genügend","enough","Ich habe genügend Zeit, um meine Hausaufgaben zu machen.","2024-08-09T21:27:56.520Z"
"gleichen Fehler","same error","","2024-07-09T22:45:40.810Z"
"umreißen","to outline/sketch/summarize","Er umreißt die wichtigsten Punkte in seinem Vortrag.","2024-07-20T16:53:27.289Z"
"zitter","tremble","Ich zittere vor Angst.","2024-06-17T21:02:03.404Z"
"die Fernbedienung","the remote control","","2024-06-17T20:49:17.559Z"
"angelegte","laid out","Groß angelegte Studien\nhaben gezeigt, dass Stress,","2024-07-18T22:53:06.297Z"
"Aufnahmeprüfung.","Entrance examination.","","2024-07-05T15:11:58.943Z"
"Ich habe nichts gemacht.","I didn't do anything.","","2024-06-21T19:13:37.216Z"
"darin","therein","Der Schlüssel liegt darin.","2024-06-22T12:30:35.179Z"
"enthüllen","reveal","Die Journalisten werden die Wahrheit über den Skandal enthüllen.","2024-08-12T22:12:18.948Z"
"Reisebereitschaft","Willingness to travel","","2024-07-23T14:53:20.423Z"
"vor einem Jahr","one year ago","Vor einem Jahr hat die Familie in Spanien gewohnt.","2024-06-21T19:13:53.404Z"
"erreichen","to reach","Es ist schwer, in dieser Firma eine Führungsposition zu erreichen.","2024-06-23T13:09:28.601Z"
"wieso","how come","Und wieso lebst du überhaupt?","2024-07-15T19:51:38.005Z"
"lass mich das gerade stellen","let me put this straight","","2024-07-15T19:59:50.707Z"
"aufwärtsfahrenden ","upward travelling ","","2024-07-11T21:36:45.166Z"
"beschreiben","describe","","2023-12-09T01:07:02.290Z"
"vergrößert","enlarged","","2024-09-21T13:37:17.014Z"
"betäuben","anaesthetise","Müller: Gut, dann werde ich den Bereich betäuben, damit Sie keine Schmerzen während der Behandlung haben.","2024-07-06T20:47:50.295Z"
"nörgler","grumbler","","2024-09-19T22:55:58.418Z"
"injiziert","injected","Müller injiziert das Betäubungsmittel und wartet ein paar Minuten)","2024-07-06T20:48:08.072Z"
"deswegen","therefore","deswegen habe ich sie oft gegessen.","2024-07-17T19:53:40.052Z"
"lässt dich scheiden und verliebst dich neu.","get divorced and fall in love again.","","2024-06-22T12:44:17.331Z"
"beobachtete","Watched","sein Fernglas und beobachtete den Vogel genauer.","2024-05-27T11:56:38.083Z"
"Das tun Töchter.\n\n","That's what daughters do.\n\n","","2024-07-09T21:57:31.898Z"
"ähneln","resemble","Die beiden Schwestern ähneln sich sehr.","2024-06-23T13:01:17.867Z"
"anhatte","was wearing","weil ich das erste Mal mein\nneues Kleid anhatte.","2024-07-09T20:50:47.089Z"
"Getreid","Grain","","2024-09-17T19:52:08.075Z"
"unversehrt","intact","","2024-08-25T12:04:44.150Z"
"die Besprechung","Meeting or discussion (work/organized conversations)","Wir haben morgen eine Besprechung mit dem Chef.","2023-10-17T03:56:17.534Z"
"raufen","wrestle/scuffle","Die Kinder raufen im Garten und haben viel Spaß dabei.","2024-08-26T12:01:10.790Z"
"verlaufen","run away","Ich hab' mich irgendwie verlaufen","2023-12-24T17:00:30.063Z"
"Genesungsprozess","Recovery process","in diesem Genesungsprozess,\ndenn wir sind alle verantwortlich.","2024-09-06T23:12:35.073Z"
"randständig","marginal","","2024-09-27T09:36:13.474Z"
"der Campingplatz/Campingplätze","the campsite","Wer ein Zelt hat, kann auf einem Campingplatz übernachten.","2024-07-11T21:09:35.757Z"
"Der Ruhestand","the Retirement","Wenn du dir\nden Ruhestand leisten kannst,","2024-06-22T12:44:40.623Z"
"derzeit","currently","Ich lebe derzeit in München.","2023-07-16T15:46:19.357Z"
"Bio ist nicht gleich Bio","Not all organic is the same","Bio ist nicht gleich Bio.","2024-09-17T13:25:04.745Z"
"gemerkt","noted","","2024-04-25T10:10:39.516Z"
"Bedauern","Regret","Es tut mir leid, dass ich dich verletzt habe. Ich bedauere meine Worte.","2024-06-23T13:05:22.817Z"
"die Wirkung/Wirkungen","the effect","Die positive Wirkungen der Übung.","2023-10-17T03:52:32.983Z"
"der Tipp/Tipps","hint / tip","","2023-12-09T01:05:26.066Z"
"Hürden","obstacles","Vor Milliarden Jahren war eine\nder wichtigsten Hürden für das Leben,","2024-07-15T23:55:25.820Z"
"mal","times","Und wir haben mal zusammen gekocht.","2024-07-17T19:45:27.658Z"
"Bursche","Lad/boy/fellow","Der Bursche spielt gerne im Park mit seinen Freunden.","2024-08-12T18:51:52.281Z"
"drehen","to turn/to rotate/to film something","Ich habe zwei Interviews mit Cari und Janusz\ngedreht.","2024-07-17T19:50:51.118Z"
"schief","crooked","Das Bild hängt schief an der Wand.","2024-09-19T19:18:50.305Z"
"Abgrenzung","Delimitation","Löst sich diese Abgrenzung auf,\nstirbt die Zelle","2024-07-15T19:52:17.396Z"
"der Begleiter","the Companion","Mein Hund ist mein treuer Begleiter.","2024-06-21T19:20:45.924Z"
"stürmen","to storm","Die Kinder stürmen in den Spielplatz, sobald die Schule aus ist.","2024-08-25T12:01:57.546Z"
"herbeizuführen","to bring about","und Veränderung herbeizuführen.","2024-07-15T23:54:41.348Z"
"engen","tight","Plötzlich sehnt man\nsich nach engen Beziehungen.","2024-07-18T22:52:13.909Z"
"Roggen","rye","Ich kaufe ein frisches Roggenbrot beim Bäcker.","2024-09-18T21:31:50.793Z"
"Machinenstürmer","Machinery striker","","2024-09-18T19:33:52.748Z"
"verletzt","injured","Er hat sich beim Fußballspielen verletzt.","2024-09-18T20:09:13.440Z"
"dachte","thought","Ich dachte, dass es heute regnen würde.","2024-09-18T20:13:07.334Z"
"verspielt","playful","Die Kinder im Park sind sehr verspielt und tollen herum.","2024-07-25T20:26:26.306Z"
"hochladen","to upload","","2024-09-17T13:38:30.878Z"
"Das Heer","Army","Das Heer marschierte in die Schlacht.","2024-08-25T12:00:03.205Z"
"halte strg links","hold ctrl left","","2024-09-20T22:34:07.929Z"
"eilig","urgent/in a hurry","Ich habe es eilig, weil ich einen wichtigen Termin habe.","2024-08-10T10:47:00.576Z"
"öfen","ovens","","2024-08-24T21:32:37.706Z"
"Erbrechen","to vomit","Ich musste gestern Abend erbrechen.","2024-07-23T15:29:56.631Z"
"durchs all fliegen","fly through space","","2024-09-18T19:57:53.395Z"
" manchmal hakt"," sometimes gets stuck","","2024-07-23T14:48:38.742Z"
"aufwachen","wake up","Ich wache jeden Morgen um 7 Uhr auf.","2024-09-18T19:58:24.362Z"
"soziale Fähigkeiten","social skills","","2024-07-18T22:28:37.378Z"
"siehe","see","","2024-04-25T09:58:32.354Z"
"der Aufwand","the effort","","2023-11-12T17:19:02.896Z"
"anspruchsvollerer","more demanding","","2024-09-09T22:12:26.891Z"
"die Gestaltung","the design","","2023-10-07T12:14:32.562Z"
"Sachbezüge","Remuneration in kind","","2024-07-24T20:27:16.539Z"
"behält","retains","„Lesestrategien dienen dazu, dass man einen Text versteht, behält und daraus Schlussfolgerungen ziehen kann“, erklärt Gold.","2023-12-24T23:25:02.056Z"
"Die Qual","The Agony","Soll ich bezahlen,\nmüsst ihr erst durch die Qualen","2024-08-15T16:08:43.498Z"
"widerlich","disgusting","Du meine Güte, wie widerlich.","2024-08-15T16:09:22.691Z"
"verstaut","tucked away","Ich bin sicher dass ich hier Samen verstaut hatte.","2024-06-17T21:05:13.806Z"
"Das Schicksal","Fate","„Das Schicksal ereilt uns oft auf den Wegen, die man eingeschlagen hat, um ihm zu entgehen.","2023-12-23T18:03:03.426Z"
"Gegenteil","Opposite/reverse","Ideale haben sich verschoben\noder sogar ins Gegenteil verkehrt.","2024-06-17T21:27:47.086Z"
"Altersvorsorge","Retirement provision","","2024-07-24T20:27:22.347Z"
"weiterzugeben","to be shared","zusammenzuarbeiten und Wissen\nüber Generationen weiterzugeben,","2024-07-21T11:59:48.779Z"
"Im Lauf ","In the course of ","Im Lauf unserer Geschichte","2024-06-17T21:27:10.709Z"
"genauso","just as","Ich habe genauso viel Zeit wie du.","2024-06-19T20:28:58.769Z"
"das Treff","the Meeting, gathering, or get-together.","Wir treffen uns heute Abend im Treff.","2023-12-06T09:10:14.540Z"
"merkwürdig","strange","Wie merkwürdig!","2024-06-17T21:05:16.423Z"
"ausschließlich","exclusively/solely","Ich esse ausschließlich vegetarisch.","2024-07-23T22:25:20.464Z"
"davon","from that","","2024-06-23T12:44:15.681Z"
"zögern","hesitate","","2024-06-17T20:27:25.885Z"
"schauderten","shuddered","","2024-08-13T19:54:03.273Z"
"der Wortschatz","vocabulary","","2023-12-08T00:14:47.601Z"
"teilweise","partially","Die Bündnisse haben nur teilweise funktioniert, weil oft ein Bündnis gegen ein anderes verstoß.","2024-08-14T20:29:23.749Z"
"Die Schleife","the ribbon","Ich habe eine schöne Schleife für das Geschenk gebunden.","2024-08-13T19:59:18.907Z"
"auszutauschen","exchange","Sie beschlossen, eine Pause von ihrer Arbeit zu machen und verbrachten den Rest der Reise damit, über ihre Lieblingsorte zu sprechen und ihre Reiseerfahrungen auszutauschen.","2023-12-22T19:50:23.761Z"
" irregeführten"," misguided","","2024-08-25T12:01:23.256Z"
"treibende","driving","","2024-07-23T22:18:56.292Z"
"der bezirk/bezirke","district/area (pl)","Der Bezirk Mitte ist bekannt für seine historischen Gebäude.","2024-08-09T21:19:39.061Z"
"einsauen","to make something dirty/soil it","Die Kinder haben den Garten total eingesaut.","2024-08-25T12:04:15.453Z"
"verblüffend","amazing","Das Ergebnis war verblüffend.","2024-09-06T23:07:09.322Z"
"der Eintrag","the entry","Ich habe einen Eintrag in meinem Notizbuch gemacht.","2024-07-28T14:27:44.853Z"
"Wolkenkratzer","Skyscrapers","Der Wolkenkratzer in der Innenstadt ist das höchste Gebäude der Stadt.","2024-09-28T01:14:35.605Z"
"regelrecht","straightforward/directly","Unser Körper begrüßt diese Invasion\nder Mikroorganismen also regelrecht.","2024-06-21T19:18:12.409Z"
"gewesen","been","Ich bin mit meinen Eltern noch ein\npaar Mal da gewesen.","2024-07-09T20:49:06.843Z"
"der Daumen","thumb","Du siehst dir nur\ndeinen blutenden Daumen an.","2024-08-25T12:02:51.913Z"
"woanders","elsewhere","Ich habe meine Jacke woanders gelassen.","2024-09-06T17:54:05.267Z"
"zudem","moreover","Ich habe heute viel Arbeit zu erledigen. Zudem muss ich noch einkaufen gehen.","2024-08-01T19:05:24.515Z"
"monatelang ","for months ","","2024-09-05T18:30:19.141Z"
"die Kordel","Cord","Zuerst brauchen wir zwei Stöcke und etwas Kordel.","2024-06-17T21:11:42.678Z"
"das Umfeld","the surrounding","","2024-09-06T23:12:44.073Z"
"Flucht","Escape/flight","Die Flucht aus dem Gefängnis war erfolgreich.","2024-07-20T14:39:36.784Z"
"sogenannte","so-called","","2024-09-21T13:36:42.517Z"
"der  Moskito (s)","the mosquito","","2024-08-26T22:57:51.680Z"
"der Frosch / Frösche","the Frog","","2024-08-26T22:57:46.613Z"
"geschnittenem","cut","Ist es die Luft, ist es der Geruch nach frisch geschnittenem Heu: gleich waren sie da, die Bilder aus Kindertagen.","2024-09-21T13:45:53.955Z"
"angerührte","mixed","Eine mit viel Butter und Zucker angerührte Schokoladentorte macht auch dann nicht schlank, wenn sie aus Bio-Produkten hergestellt wird.","2024-09-17T13:23:15.811Z"
"wiedergabe","playback","","2024-09-18T19:15:04.662Z"
"lebhafte","lively","Die lebhafte Diskussion hat alle Teilnehmer begeistert.","2024-08-09T21:48:33.132Z"
"ehemaligen","former","","2024-07-09T21:42:24.240Z"
"heranfahrenden","approaching","Dass das Publikum der ersten Kinovorstellung sich angesichts eines heranfahrenden Zuges unter den Tischen versteckt haben soll, ist eine Legende.","2024-09-21T13:33:47.508Z"
"Der Aufzug","the Elevator","Ich nehme immer den Aufzug, wenn ich ins Büro gehe.","2024-06-17T20:38:29.136Z"
"Teufelswerk","Devil's work","Die Kirche dagegen verurteilte den Apparat bald als Teufelswerk.","2024-09-21T13:39:48.830Z"
"Mangelnder","Lack of","","2024-09-18T14:28:47.159Z"
"angebaut","grown/cultivated","Im Garten haben wir viele Tomaten angebaut.","2024-09-06T17:52:22.399Z"
"zugang","Access","Der Zugang zur Bibliothek ist nur mit einem Ausweis erlaubt.","2024-09-19T22:49:12.551Z"
"so und so vielen Sekunden","so and so many seconds","Die komplette Harry Potter Saga in so und so vielen Sekunden","2024-06-17T21:15:48.947Z"
